Provincia,Estadillo,Clase,Subclase,nArbol,OrdenIf3,OrdenIf2,Rumbo,Distanci,DRed,Especie,Dn1,Dn2,Ht,Calidad,Forma,ParEsp,Agente,Import,Elemento,Compara,INVENTORY_ID,PLOT_ID,TREE_ID,IFN3_ID
1,100,A,1,1,1,1,6,11,0,43,225,227,16,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_1,1_100_A_1
1,100,A,1,2,2,0,11,19.8,0,28,520,535,33,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_2,1_100_A_1
1,100,A,1,3,3,0,35,18.5,0,28,484,507,26.5,3,2,NA,411,3,7,,IFN3,1_100,IFN3_1_100_A_1_3,1_100_A_1
1,100,A,1,4,4,2,37,9.9,0,43,162,168,11.5,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_4,1_100_A_1
1,100,A,1,5,888,3,39,7.4,0,72,295,274,NA,6,NA,NA,200,3,9,,IFN3,1_100,IFN3_1_100_A_1_5,1_100_A_1
1,100,A,1,6,5,4,44,6.5,0,72,258,301,14,5,2,49,200,3,9,,IFN3,1_100,IFN3_1_100_A_1_6,1_100_A_1
1,100,A,1,7,888,5,48,6.8,0,72,291,302,NA,6,NA,NA,200,3,9,,IFN3,1_100,IFN3_1_100_A_1_7,1_100_A_1
1,100,A,1,8,6,0,59,17.2,0,28,481,484,25.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_8,1_100_A_1
1,100,A,1,9,7,6,87,8,0,43,251,281,17,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_9,1_100_A_1
1,100,A,1,10,8,0,113,20.4,0,28,493,400,23.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_10,1_100_A_1
1,100,A,1,11,9,7,142,14.5,0,28,569,525,30,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_11,1_100_A_1
1,100,A,1,12,888,8,143,9.5,0,43,119,132,NA,6,NA,NA,200,3,9,,IFN3,1_100,IFN3_1_100_A_1_12,1_100_A_1
1,100,A,1,13,10,0,144,23.1,0,28,507,468,30,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_13,1_100_A_1
1,100,A,1,14,11,9,146,4.9,0,43,188,172,14.5,3,2,42,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_14,1_100_A_1
1,100,A,1,15,888,10,147,5,4.6,43,104,102,NA,6,NA,NA,316,3,9,,IFN3,1_100,IFN3_1_100_A_1_15,1_100_A_1
1,100,A,1,16,12,11,158,6.7,0,43,147,155,13,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_16,1_100_A_1
1,100,A,1,17,13,0,177,21.9,0,28,453,398,24.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_17,1_100_A_1
1,100,A,1,18,14,12,178,9.2,0,41,226,223,14.5,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_18,1_100_A_1
1,100,A,1,19,15,0,180,6.8,0,41,132,144,10.5,3,2,NA,316,1,9,,IFN3,1_100,IFN3_1_100_A_1_19,1_100_A_1
1,100,A,1,20,16,13,196,17.4,0,28,534,562,31,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_20,1_100_A_1
1,100,A,1,21,888,14,198,4.5,0,28,81,83,NA,6,NA,NA,316,3,9,,IFN3,1_100,IFN3_1_100_A_1_21,1_100_A_1
1,100,A,1,22,17,15,200,8.3,0,43,180,179,11.5,3,2,42,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_22,1_100_A_1
1,100,A,1,23,18,16,202,10.4,9.5,43,194,172,16.5,3,2,NA,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_23,1_100_A_1
1,100,A,1,24,19,17,205,8.4,0,43,274,244,19,3,2,42,313,1,9,,IFN3,1_100,IFN3_1_100_A_1_24,1_100_A_1
1,100,A,1,25,20,0,228,25.1,22.1,28,441,494,24,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_25,1_100_A_1
1,100,A,1,26,21,18,232,9.6,0,28,480,511,33.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_26,1_100_A_1
1,100,A,1,27,22,19,233,5.1,0,43,189,190,14.5,3,2,49,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_27,1_100_A_1
1,100,A,1,28,23,0,242,4.4,0,43,78,80,10,4,3,49,316,2,9,,IFN3,1_100,IFN3_1_100_A_1_28,1_100_A_1
1,100,A,1,29,24,20,270,14.7,0,28,394,363,26.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_29,1_100_A_1
1,100,A,1,30,25,0,273,21.2,0,28,444,471,33,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_30,1_100_A_1
1,100,A,1,31,26,0,275,26.5,24.6,28,499,413,25.5,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_31,1_100_A_1
1,100,A,1,32,27,21,280,9.1,0,72,345,401,17,2,2,419,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_32,1_100_A_1
1,100,A,1,33,28,22,282,8.6,0,72,180,191,13.5,2,2,49,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_33,1_100_A_1
1,100,A,1,34,29,23,286,22,0,28,474,463,33,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_34,1_100_A_1
1,100,A,1,35,30,0,301,11.9,0,43,244,230,22,3,2,41,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_35,1_100_A_1
1,100,A,1,36,31,24,305,21.4,0,28,606,538,30,2,2,NA,100,NA,,,IFN3,1_100,IFN3_1_100_A_1_36,1_100_A_1
1,100,A,1,37,32,25,316,9.6,0,43,197,207,15,3,2,49,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_37,1_100_A_1
1,100,A,1,38,33,26,318,9.9,0,43,142,156,15,3,2,49,311,1,2,,IFN3,1_100,IFN3_1_100_A_1_38,1_100_A_1
