"","Provincia","Estadillo","Clase","Subclase","nArbol","OrdenIf3","OrdenIf2","Rumbo","Distanci","DRed","Especie","Dn1","Dn2","Ht","Calidad","Forma","ParEsp","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN3_ID"
"2",9,86,"A","1",2,1,2,13,13.8,NA,21,410,377,16,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_2","9_86_A_1"
"4",9,86,"A","1",4,2,0,22,13.5,NA,21,327,325,15,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_4","9_86_A_1"
"11",9,86,"A","1",11,3,10,62,8.4,NA,21,313,303,15,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_11","9_86_A_1"
"13",9,86,"A","1",13,4,0,72,14.1,NA,21,283,285,14,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_13","9_86_A_1"
"14",9,86,"A","1",14,5,0,74,10.9,NA,21,233,227,12,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_14","9_86_A_1"
"20",9,86,"A","1",20,6,0,90,13.8,NA,26,304,307,13,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_20","9_86_A_1"
"21",9,86,"A","1",21,7,17,90,8.7,NA,26,316,322,14,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_21","9_86_A_1"
"25",9,86,"A","1",25,8,0,117,12.3,NA,21,229,225,11.5,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_25","9_86_A_1"
"26",9,86,"A","1",26,9,21,122,3.8,NA,26,345,361,14.5,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_26","9_86_A_1"
"28",9,86,"A","1",28,10,23,135,1.1,NA,26,323,303,13.5,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_28","9_86_A_1"
"30",9,86,"A","1",30,11,25,136,13.4,NA,26,382,399,14.5,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_30","9_86_A_1"
"33",9,86,"A","1",33,12,28,151,7.9,NA,26,361,344,15,2,2,NA,100,NA,"","X","IFN3","9_86","IFN3_9_86_A_1_33","9_86_A_1"
