"","IFN3_ID","Provincia","Estadillo","Clase","Subclase","PosEsp","Especie","Ocupa","Estado","FPMasa","Edad","FInfor","Fiabil","Barrena1","Barrena2","Barrena3","AltPer","OrgMasa1","OrgMasa2","TratMasa","INVENTORY_ID","PLOT_ID","Origen","CoorX","Coory","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosid","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Tecnico"
"1","9_1829_A_1",9,1829,"A","1",1,26,7,4,2,35,7,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_1829",9,NA,NA,0,1984,"L","0008","1997","","4-1","2003","330",1,"1","2",100,75,1,2,2,1,2,4,"02/27/03 00:00:00","12/30/99 11:42:00",1,2,1,1,9,3,NA,NA,"3","J","","0","",82,0,4.5,0,2,"1",2,"REJON ENCONTRADO POR PIES DEL IFN2.LA EDAD DE LA MASA HA SIDO  ESTIMADA CON LOS DATOS DEL IFN2.ARBOLES N13, 18, 21, 33 DIAMETROS CORRECTOS.ARBOLES N18, 21, 33 MEDIDOS POR DEBAJO DE 1.30. ARBOLES N21, 25 ALTURA CORRECTA.ARBOLES N25, 41 DIAMETRO   MEDIDO CON CINTA.ARBOL N29 DIAMETROS CORRECTOS.ARBOL N50   DISTANCIA CORRECTA.NO DEJO OCUPACION PARA OTRAS ESPECIES.HAY RESTOS DE LAS CORTAS ESPARCIDOS POR LA PARCELA.",8,5,"02/27/03 00:00:00","12/30/99 09:59:07","02/27/03 00:00:00","12/30/99 11:51:04",112,"330","309","260","12",977918,32,9,977918,31,10,5
"2","9_1829_A_1",9,1829,"A","1",2,43,2,4,3,0,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","9_1829",9,NA,NA,0,1984,"L","0008","1997","","4-1","2003","330",1,"1","2",100,75,1,2,2,1,2,4,"02/27/03 00:00:00","12/30/99 11:42:00",1,2,1,1,9,3,NA,NA,"3","J","","0","",82,0,4.5,0,2,"1",2,"REJON ENCONTRADO POR PIES DEL IFN2.LA EDAD DE LA MASA HA SIDO  ESTIMADA CON LOS DATOS DEL IFN2.ARBOLES N13, 18, 21, 33 DIAMETROS CORRECTOS.ARBOLES N18, 21, 33 MEDIDOS POR DEBAJO DE 1.30. ARBOLES N21, 25 ALTURA CORRECTA.ARBOLES N25, 41 DIAMETRO   MEDIDO CON CINTA.ARBOL N29 DIAMETROS CORRECTOS.ARBOL N50   DISTANCIA CORRECTA.NO DEJO OCUPACION PARA OTRAS ESPECIES.HAY RESTOS DE LAS CORTAS ESPARCIDOS POR LA PARCELA.",8,5,"02/27/03 00:00:00","12/30/99 09:59:07","02/27/03 00:00:00","12/30/99 11:51:04",112,"330","309","260","12",977918,32,9,977918,31,10,5
"3","9_1829_A_1",9,1829,"A","1",3,21,1,3,2,35,7,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_1829",9,NA,NA,0,1984,"L","0008","1997","","4-1","2003","330",1,"1","2",100,75,1,2,2,1,2,4,"02/27/03 00:00:00","12/30/99 11:42:00",1,2,1,1,9,3,NA,NA,"3","J","","0","",82,0,4.5,0,2,"1",2,"REJON ENCONTRADO POR PIES DEL IFN2.LA EDAD DE LA MASA HA SIDO  ESTIMADA CON LOS DATOS DEL IFN2.ARBOLES N13, 18, 21, 33 DIAMETROS CORRECTOS.ARBOLES N18, 21, 33 MEDIDOS POR DEBAJO DE 1.30. ARBOLES N21, 25 ALTURA CORRECTA.ARBOLES N25, 41 DIAMETRO   MEDIDO CON CINTA.ARBOL N29 DIAMETROS CORRECTOS.ARBOL N50   DISTANCIA CORRECTA.NO DEJO OCUPACION PARA OTRAS ESPECIES.HAY RESTOS DE LAS CORTAS ESPARCIDOS POR LA PARCELA.",8,5,"02/27/03 00:00:00","12/30/99 09:59:07","02/27/03 00:00:00","12/30/99 11:51:04",112,"330","309","260","12",977918,32,9,977918,31,10,5
"4","9_2483_A_1",9,2483,"A","1",1,25,5,3,2,25,7,3,NA,NA,NA,NA,2,"A",1,"IFN3","9_2483",9,NA,NA,0,1982,"02","4891","1997","","2-3","2003","396",1,"1","2",95,80,1,2,2,2,2,5,"03/27/03 00:00:00","12/30/99 15:01:00",1,1,1,1,5,2,NA,NA,"0","J","H","3","",107,241,2,1.5,2,"1",2,"REJON ENCONTRADO POR LOS PIES DEL IFN 2.
LA PARCELA ESTA PINCHADA ENTRE  DOS PLANTACIONES, UNA DE PINO LARICO LATIZAL, Y LA OTRA DE PINO PINASTER  FUSTAL BAJO.
HE CONSIDERADO LA PARCELA COMO A1 POR ESTAR LA PARCELA Y EL CRUCE DE  COORDENADAS DENTRO DE LA MISMA TESELA
LAS DOS  PLANTACIONES   SON DISTINTAS Y LA  EDAD LA HE ESTIMADO  SUMANDO 10 Y 11  AÑOS A   LAS DEL IFN  2.
DEJO EL 10% DE  LA  OCUPACION  ARBOREA  PARA EL RESTO  DE ESP.

EL PIE  1 TB. TIENE DAÑOS  POR  EL  MUERDAGO.

PIE 5 RUMBO  CORRECTO.

PIE 10 DIAMETRO COMPROBADO.
PIE 8 DIAMETRO     COMPROBADO.

PIE 11 FORMA CORRECTA.

SABINA A 7 M. Y 172 G. NO    ENTRA POR EL DIAMETRO.
PINO LARICIO A  4,4 M. Y 208 G. NO ENTRA  JUSTO POR EL  DIAMETRO.
PINO PINASTER A 379 G. Y  7,1  M. NO  ENTRA POR EL DIAMETRO.

EL  ACIDO HA REACCIONADO CON EL  SUELO.
PARTE DE LA PARCCELA SE HA  LEVANTADO  CON LLUVIA.
FUERA DE LA  PARCELA HAY PINO PINASTER  RESINADOS.",13,3,"03/27/03 00:00:00","12/30/99 12:25:17","03/27/03 00:00:00","12/30/99 15:01:26",116,"194","272","064","10",977926,18,23,977926,17,24,1
"5","9_2483_A_1",9,2483,"A","1",2,26,4,4,2,45,7,3,NA,NA,NA,NA,2,"B",1,"IFN3","9_2483",9,NA,NA,0,1982,"02","4891","1997","","2-3","2003","396",1,"1","2",95,80,1,2,2,2,2,5,"03/27/03 00:00:00","12/30/99 15:01:00",1,1,1,1,5,2,NA,NA,"0","J","H","3","",107,241,2,1.5,2,"1",2,"REJON ENCONTRADO POR LOS PIES DEL IFN 2.
LA PARCELA ESTA PINCHADA ENTRE  DOS PLANTACIONES, UNA DE PINO LARICO LATIZAL, Y LA OTRA DE PINO PINASTER  FUSTAL BAJO.
HE CONSIDERADO LA PARCELA COMO A1 POR ESTAR LA PARCELA Y EL CRUCE DE  COORDENADAS DENTRO DE LA MISMA TESELA
LAS DOS  PLANTACIONES   SON DISTINTAS Y LA  EDAD LA HE ESTIMADO  SUMANDO 10 Y 11  AÑOS A   LAS DEL IFN  2.
DEJO EL 10% DE  LA  OCUPACION  ARBOREA  PARA EL RESTO  DE ESP.

EL PIE  1 TB. TIENE DAÑOS  POR  EL  MUERDAGO.

PIE 5 RUMBO  CORRECTO.

PIE 10 DIAMETRO COMPROBADO.
PIE 8 DIAMETRO     COMPROBADO.

PIE 11 FORMA CORRECTA.

SABINA A 7 M. Y 172 G. NO    ENTRA POR EL DIAMETRO.
PINO LARICIO A  4,4 M. Y 208 G. NO ENTRA  JUSTO POR EL  DIAMETRO.
PINO PINASTER A 379 G. Y  7,1  M. NO  ENTRA POR EL DIAMETRO.

EL  ACIDO HA REACCIONADO CON EL  SUELO.
PARTE DE LA PARCCELA SE HA  LEVANTADO  CON LLUVIA.
FUERA DE LA  PARCELA HAY PINO PINASTER  RESINADOS.",13,3,"03/27/03 00:00:00","12/30/99 12:25:17","03/27/03 00:00:00","12/30/99 15:01:26",116,"194","272","064","10",977926,18,23,977926,17,24,1
"6","9_2537_A_3E",9,2537,"A","3E",1,24,6,4,2,30,5,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_2537",9,NA,NA,0,1997,"","4-2","1982","03","4955","2003","018",1,"1","2",100,50,1,2,2,3,3,4,"04/03/03 00:00:00","12/30/99 12:25:00",1,1,1,1,1,1,NA,NA,"0","0","","4","",164,0,1.5,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE ORTOFOTO Y DESPLAZADA 22M A 200G POR CAMBIO DE TESELA.
PARCELA SIN LIMITACIONES PARA  SU  MECANIZACION.
FUERA DE 25M HAY  PINO PINASTER.
COMPROBADA LA  REGENERACION DE PINOS.
FUERA 10M HAY  HALIMIUM  UMBELLATUM.
ARB. NO ENTRA POR DIST. A 342G.",5,27,"04/03/03 00:00:00","12/30/99 11:36:49","04/03/03 00:00:00","12/30/99 12:27:51",51,"018","196","015","20",179510,34,7,179510,33,8,1
"7","9_2537_A_3E",9,2537,"A","3E",2,23,2,4,2,30,5,4,NA,NA,NA,NA,2,"J",1,"IFN3","9_2537",9,NA,NA,0,1997,"","4-2","1982","03","4955","2003","018",1,"1","2",100,50,1,2,2,3,3,4,"04/03/03 00:00:00","12/30/99 12:25:00",1,1,1,1,1,1,NA,NA,"0","0","","4","",164,0,1.5,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE ORTOFOTO Y DESPLAZADA 22M A 200G POR CAMBIO DE TESELA.
PARCELA SIN LIMITACIONES PARA  SU  MECANIZACION.
FUERA DE 25M HAY  PINO PINASTER.
COMPROBADA LA  REGENERACION DE PINOS.
FUERA 10M HAY  HALIMIUM  UMBELLATUM.
ARB. NO ENTRA POR DIST. A 342G.",5,27,"04/03/03 00:00:00","12/30/99 11:36:49","04/03/03 00:00:00","12/30/99 12:27:51",51,"018","196","015","20",179510,34,7,179510,33,8,1
"8","9_2537_A_3E",9,2537,"A","3E",3,38,2,3,3,0,NA,NA,NA,NA,NA,NA,1,"1",1,"IFN3","9_2537",9,NA,NA,0,1997,"","4-2","1982","03","4955","2003","018",1,"1","2",100,50,1,2,2,3,3,4,"04/03/03 00:00:00","12/30/99 12:25:00",1,1,1,1,1,1,NA,NA,"0","0","","4","",164,0,1.5,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE ORTOFOTO Y DESPLAZADA 22M A 200G POR CAMBIO DE TESELA.
PARCELA SIN LIMITACIONES PARA  SU  MECANIZACION.
FUERA DE 25M HAY  PINO PINASTER.
COMPROBADA LA  REGENERACION DE PINOS.
FUERA 10M HAY  HALIMIUM  UMBELLATUM.
ARB. NO ENTRA POR DIST. A 342G.",5,27,"04/03/03 00:00:00","12/30/99 11:36:49","04/03/03 00:00:00","12/30/99 12:27:51",51,"018","196","015","20",179510,34,7,179510,33,8,1
"9","9_2561_A_1",9,2561,"A","1",1,26,7,4,2,30,5,4,NA,NA,NA,NA,2,"B",1,"IFN3","9_2561",9,NA,NA,0,1982,"04","4984","1997","","4-4","2003","279",1,"1","2",100,75,1,3,1,2,3,4,"04/10/03 00:00:00","12/30/99 12:46:00",1,2,1,1,1,2,NA,NA,"3","N","G","3","",114,0,1,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE FOTOGRAFIAS Y PIES MAYORES        INFO2.
PARCELA SIN LIMITACIONES PARA SU MECANIZACION.
LIGEROS RESTOS DE CORTAS.
HAY LIGERA PROCESIONARIA.
0117 HALIMIUM    UMBELLATUM.
REFERENCIA: 136.8M DESDE CRUCE DE CORTAFUEGOS Y   LUEGO 100.7M A 139G PARA  PARCELA.
SUBPISO: ENCINA, SABINA Y     ENEBRO. ALREDEDORES HAY ENDRINO.

AGENTE  322: ARBS.  CORTADOS  Y DEJADOS DE MOMENTO.
AGENTE  311: PERFORADORES.
COMPROBADA FORMA ARB. 2.
ARBS. NO ENTRAN POR DIAM. A 35 Y 338G.
ARB. NO ENTRA POR DIST. A   212G.

FUERA 10 M. HAY LAVANDA Y  ARTEMISA.",5,27,"04/10/03 00:00:00","12/30/99 10:57:05","04/10/03 00:00:00","12/30/99 12:51:00",114,"018","325","018","20",179510,10,31,179510,9,32,1
"10","9_2561_A_1",9,2561,"A","1",2,45,2,2,3,0,NA,NA,NA,NA,NA,NA,1,"4",2,"IFN3","9_2561",9,NA,NA,0,1982,"04","4984","1997","","4-4","2003","279",1,"1","2",100,75,1,3,1,2,3,4,"04/10/03 00:00:00","12/30/99 12:46:00",1,2,1,1,1,2,NA,NA,"3","N","G","3","",114,0,1,0,2,"1",1,"PARCELA LOCALIZADA A TRAVES DE FOTOGRAFIAS Y PIES MAYORES        INFO2.
PARCELA SIN LIMITACIONES PARA SU MECANIZACION.
LIGEROS RESTOS DE CORTAS.
HAY LIGERA PROCESIONARIA.
0117 HALIMIUM    UMBELLATUM.
REFERENCIA: 136.8M DESDE CRUCE DE CORTAFUEGOS Y   LUEGO 100.7M A 139G PARA  PARCELA.
SUBPISO: ENCINA, SABINA Y     ENEBRO. ALREDEDORES HAY ENDRINO.

AGENTE  322: ARBS.  CORTADOS  Y DEJADOS DE MOMENTO.
AGENTE  311: PERFORADORES.
COMPROBADA FORMA ARB. 2.
ARBS. NO ENTRAN POR DIAM. A 35 Y 338G.
ARB. NO ENTRA POR DIST. A   212G.

FUERA 10 M. HAY LAVANDA Y  ARTEMISA.",5,27,"04/10/03 00:00:00","12/30/99 10:57:05","04/10/03 00:00:00","12/30/99 12:51:00",114,"018","325","018","20",179510,10,31,179510,9,32,1
